valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,incValue,prctConsultations,prct,trend,dataComplete
consultations,2016-W33,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,163.8,19517.4,1184,20.49,0.34,100,stagnant,TRUE
consultations,2016-W33,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,0,47931.2,3120,0,0,0,falling,TRUE
consultations,2016-W33,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,0,14416.4,1050,0,0,0,falling,TRUE
consultations,2016-W33,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W34,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,102.7,164474.9,11746,1.22,0.02,100,stagnant,TRUE
consultations,2016-W34,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,62.7,28602.3,1875,3.5,0.05,62.8,rising,TRUE
consultations,2016-W34,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,27980.5,1860,0,0,0,falling,TRUE
consultations,2016-W34,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,22142,1609,0,0,0,falling,TRUE
consultations,2016-W34,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,37.1,21556.1,1486,4.64,0.07,37.2,falling,TRUE
consultations,2016-W34,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,0,46650.5,3436,0,0,0,falling,TRUE
consultations,2016-W34,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,0,17543.5,1480,0,0,0,falling,TRUE
consultations,2016-W34,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W35,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,266.1,158090.4,11411,3.16,0.04,100,rising,TRUE
consultations,2016-W35,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,0,29751.1,1982,0,0,0,falling,TRUE
consultations,2016-W35,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,23906.1,1613,0,0,0,falling,TRUE
consultations,2016-W35,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,23477.5,1721,0,0,0,falling,TRUE
consultations,2016-W35,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,159.7,20018,1395,19.98,0.29,75.1,stagnant,TRUE
consultations,2016-W35,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,53,46252.6,3446,2.16,0.03,24.9,rising,TRUE
consultations,2016-W35,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,0,14685.1,1254,0,0,0,falling,TRUE
consultations,2016-W35,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W36,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,266.1,158263.6,11165,3.16,0.04,100,stagnant,TRUE
consultations,2016-W36,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,60.6,29606.3,1927,3.38,0.05,27.1,stagnant,TRUE
consultations,2016-W36,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,25508,1675,0,0,0,falling,TRUE
consultations,2016-W36,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,25619.5,1831,0,0,0,falling,TRUE
consultations,2016-W36,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,42.7,18737.2,1269,5.34,0.08,19.1,stagnant,TRUE
consultations,2016-W36,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,60.8,40321.1,2917,2.48,0.03,27.2,rising,TRUE
consultations,2016-W36,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,59.8,18471.5,1546,10.83,0.13,26.7,rising,TRUE
consultations,2016-W36,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W37,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,369.6,159607.3,11680,4.39,0.06,100,rising,TRUE
consultations,2016-W37,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,58.8,30480.4,2055,3.28,0.05,16.8,stagnant,TRUE
consultations,2016-W37,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,116.3,24276.7,1644,8.24,0.12,33.2,rising,TRUE
consultations,2016-W37,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,25729.6,1907,0,0,0,falling,TRUE
consultations,2016-W37,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,87.8,18218.6,1289,10.98,0.16,25,stagnant,TRUE
consultations,2016-W37,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,58.1,42238.9,3164,2.37,0.03,16.6,stagnant,TRUE
consultations,2016-W37,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,29.6,18663.1,1621,5.36,0.06,8.4,stagnant,TRUE
consultations,2016-W37,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W38,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,399.1,168627.9,12326,4.74,0.06,100,stagnant,TRUE
consultations,2016-W38,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,0,28084.1,1884,0,0,0,falling,TRUE
consultations,2016-W38,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,24903.4,1705,0,0,0,falling,TRUE
consultations,2016-W38,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,28470.9,2105,0,0,0,falling,TRUE
consultations,2016-W38,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,35.6,22446.8,1584,4.45,0.06,9.5,falling,TRUE
consultations,2016-W38,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,303,48602.4,3641,12.35,0.16,81.3,rising,TRUE
consultations,2016-W38,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,34.2,16120.5,1407,6.2,0.07,9.2,stagnant,TRUE
consultations,2016-W38,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W39,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,411.7,163680.8,11859,4.89,0.07,100,stagnant,TRUE
consultations,2016-W39,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,0,34271.3,2295,0,0,0,falling,TRUE
consultations,2016-W39,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,24280.7,1627,0,0,0,falling,TRUE
consultations,2016-W39,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,20768.3,1512,0,0,0,falling,TRUE
consultations,2016-W39,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,186.8,21394.8,1506,23.37,0.33,59.8,rising,TRUE
consultations,2016-W39,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,50.8,48197.9,3629,2.07,0.03,16.3,falling,TRUE
consultations,2016-W39,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,74.7,14767.7,1290,13.54,0.16,23.9,rising,TRUE
consultations,2016-W39,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W40,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,969.9,164905,10835,11.52,0.18,100,rising,TRUE
consultations,2016-W40,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,372.4,33692.6,2019,20.78,0.35,43.7,rising,TRUE
consultations,2016-W40,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,25693.4,1561,0,0,0,falling,TRUE
consultations,2016-W40,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,15187,1021,0,0,0,falling,TRUE
consultations,2016-W40,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,255.4,18780.9,1203,31.95,0.5,30,rising,TRUE
consultations,2016-W40,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,144.2,50977.2,3439,5.88,0.09,16.9,stagnant,TRUE
consultations,2016-W40,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,80.5,20573.9,1592,14.58,0.19,9.4,stagnant,TRUE
consultations,2016-W40,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W41,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,1478.5,159435.6,9097,17.56,0.31,100,rising,TRUE
consultations,2016-W41,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,94.3,38029.2,1990,5.26,0.1,7,stagnant,TRUE
consultations,2016-W41,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,33336.4,1795,0,0,0,falling,TRUE
consultations,2016-W41,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,303.1,23287.5,1367,21.47,0.37,22.5,rising,TRUE
consultations,2016-W41,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,634.2,13864.6,785,79.34,1.4,47,rising,TRUE
consultations,2016-W41,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,82.2,29886,1742,3.35,0.06,6.1,stagnant,TRUE
consultations,2016-W41,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,236.2,21031.8,1418,42.79,0.63,17.5,rising,TRUE
consultations,2016-W41,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W42,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,1007.8,158690.6,10525,11.97,0.18,100,stagnant,TRUE
consultations,2016-W42,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,164.5,32680.2,1990,9.18,0.15,16.3,stagnant,TRUE
consultations,2016-W42,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,29276.9,1836,0,0,0,falling,TRUE
consultations,2016-W42,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,185.8,30389.9,2055,13.16,0.19,18.4,stagnant,TRUE
consultations,2016-W42,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,254,18882.2,1214,31.78,0.49,25.2,stagnant,TRUE
consultations,2016-W42,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,347.4,28255.3,1920,14.16,0.21,34.4,rising,TRUE
consultations,2016-W42,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,57.5,19206,1510,10.41,0.13,5.7,falling,TRUE
consultations,2016-W42,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W43,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,1932.3,161233.5,12491,22.95,0.3,100,rising,TRUE
consultations,2016-W43,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,313.3,28606.7,2038,17.48,0.25,17.4,rising,TRUE
consultations,2016-W43,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,54.9,25702.7,1818,3.89,0.06,3,rising,TRUE
consultations,2016-W43,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,406.8,24290.5,1920,28.82,0.36,22.6,rising,TRUE
consultations,2016-W43,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,431.8,20363.9,1515,54.02,0.73,24,stagnant,TRUE
consultations,2016-W43,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,427.1,45939,3681,17.41,0.22,23.7,rising,TRUE
consultations,2016-W43,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,169,16330.6,1519,30.62,0.33,9.4,stagnant,TRUE
consultations,2016-W43,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W44,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,1255.4,154257.5,11596,14.91,0.2,100,stagnant,TRUE
consultations,2016-W44,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,187.5,28675.1,1992,10.46,0.15,15.2,stagnant,TRUE
consultations,2016-W44,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,105.6,26733.3,1876,7.48,0.11,8.6,rising,TRUE
consultations,2016-W44,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,187.9,22544.3,1728,13.31,0.17,15.2,stagnant,TRUE
consultations,2016-W44,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,131.2,18268,1325,16.42,0.23,10.6,falling,TRUE
consultations,2016-W44,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,505.8,43655.6,3399,20.62,0.26,41,rising,TRUE
consultations,2016-W44,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,115.1,14381.1,1276,20.86,0.24,9.3,stagnant,TRUE
consultations,2016-W44,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W45,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,1743.7,159355.2,12774,20.71,0.26,100,stagnant,TRUE
consultations,2016-W45,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,112,31980.5,2370,6.25,0.08,6.5,falling,TRUE
consultations,2016-W45,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,213.7,26414,1983,15.14,0.2,12.4,rising,TRUE
consultations,2016-W45,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,298.8,23612.9,1929,21.17,0.26,17.4,stagnant,TRUE
consultations,2016-W45,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,86.1,18564.7,1439,10.77,0.14,5,falling,TRUE
consultations,2016-W45,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,790.6,43443.3,3590,32.23,0.39,46,rising,TRUE
consultations,2016-W45,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,215.9,15339.7,1463,39.11,0.41,12.6,rising,TRUE
consultations,2016-W45,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W46,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,1995.4,160304.4,12886,23.7,0.29,100,rising,TRUE
consultations,2016-W46,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,508.2,31734.5,2363,28.36,0.38,26.3,rising,TRUE
consultations,2016-W46,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,302.6,27987.5,2099,21.44,0.29,15.7,rising,TRUE
consultations,2016-W46,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,285,24760.3,2027,20.19,0.25,14.7,stagnant,TRUE
consultations,2016-W46,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,142.2,16862.8,1304,17.79,0.23,7.4,stagnant,TRUE
consultations,2016-W46,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,467.3,41989.6,3469,19.05,0.23,24.2,stagnant,TRUE
consultations,2016-W46,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,227.7,16969.8,1624,41.25,0.43,11.8,stagnant,TRUE
consultations,2016-W46,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W47,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,1488.6,164048.4,13064,17.68,0.22,100,falling,TRUE
consultations,2016-W47,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,505.2,31926.8,2369,28.19,0.38,33.9,stagnant,TRUE
consultations,2016-W47,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,320.6,26419.2,1976,22.71,0.3,21.5,stagnant,TRUE
consultations,2016-W47,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,55.8,25291.7,2060,3.95,0.05,3.7,falling,TRUE
consultations,2016-W47,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,38.1,20949.4,1609,4.77,0.06,2.6,falling,TRUE
consultations,2016-W47,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,383.2,44815.2,3657,15.62,0.19,25.7,falling,TRUE
consultations,2016-W47,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,188.4,14646,1393,34.14,0.36,12.6,falling,TRUE
consultations,2016-W47,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W48,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,3380.4,169371.8,13389,40.15,0.51,100,rising,TRUE
consultations,2016-W48,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,589.1,33461.1,2444,32.87,0.45,18.4,rising,TRUE
consultations,2016-W48,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,335.2,25264.7,1885,23.75,0.32,10.4,stagnant,TRUE
consultations,2016-W48,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,345.7,24498.8,1979,24.49,0.3,10.8,rising,TRUE
consultations,2016-W48,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,346.2,23088.3,1756,43.31,0.57,10.8,rising,TRUE
consultations,2016-W48,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,1174.1,45970.3,3712,47.86,0.59,36.6,rising,TRUE
consultations,2016-W48,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,419.8,17088.5,1613,76.07,0.81,13.1,rising,TRUE
consultations,2016-W48,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W49,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,4017.8,161362.5,12943,47.72,0.59,100,rising,TRUE
consultations,2016-W49,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,474.9,30185.4,2253,26.5,0.36,12.1,stagnant,TRUE
consultations,2016-W49,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,665.1,29710.9,2245,47.12,0.62,16.9,rising,TRUE
consultations,2016-W49,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,167.1,25336.1,2081,11.84,0.14,4.2,stagnant,TRUE
consultations,2016-W49,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,807.8,17811.9,1379,101.06,1.31,20.5,rising,TRUE
consultations,2016-W49,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,1663.2,44246.3,3634,67.8,0.83,42.3,rising,TRUE
consultations,2016-W49,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,156.9,14071.9,1351,28.43,0.3,4,falling,TRUE
consultations,2016-W49,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W50,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,5695.8,172954.7,14384,67.65,0.81,100,rising,TRUE
consultations,2016-W50,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,777.4,34578.2,2671,43.38,0.56,14.7,rising,TRUE
consultations,2016-W50,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,978.1,30306.1,2372,69.29,0.89,18.6,rising,TRUE
consultations,2016-W50,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,496.9,25565,2171,35.2,0.41,9.4,rising,TRUE
consultations,2016-W50,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,682.2,19917.4,1596,85.35,1.07,12.9,stagnant,TRUE
consultations,2016-W50,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,1403.7,45442.2,3872,57.22,0.67,26.6,stagnant,TRUE
consultations,2016-W50,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,933.5,17145.9,1702,169.14,1.7,17.7,rising,TRUE
consultations,2016-W50,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W51,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,10958,164422.9,13746,130.15,1.56,100,rising,TRUE
consultations,2016-W51,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,1649.4,30422.7,2368,92.04,1.18,16.2,rising,TRUE
consultations,2016-W51,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,2108.4,24771.3,1928,149.37,1.92,20.7,rising,TRUE
consultations,2016-W51,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,1165.1,25441.9,2164,82.54,0.97,11.5,rising,TRUE
consultations,2016-W51,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,928,20672.1,1656,116.1,1.45,9.1,rising,TRUE
consultations,2016-W51,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,2629.5,44781.7,3808,107.19,1.26,25.9,rising,TRUE
consultations,2016-W51,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,1685.9,18333.1,1822,305.46,3.07,16.6,rising,TRUE
consultations,2016-W51,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2016-W52,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,14229.9,143777.8,5374,169.01,4.52,100,rising,TRUE
consultations,2016-W52,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,3372.9,25502.9,887,188.21,5.41,25,rising,TRUE
consultations,2016-W52,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,1552.3,35465.4,1220,109.97,3.2,11.5,stagnant,TRUE
consultations,2016-W52,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,2118.5,9328.3,358,150.08,3.91,15.7,rising,TRUE
consultations,2016-W52,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,564,17006.6,621,70.56,1.93,4.2,falling,TRUE
consultations,2016-W52,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,3031.5,41267.9,1601,123.58,3.19,22.4,rising,TRUE
consultations,2016-W52,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,2867.3,15206.7,687,519.51,11.5,21.2,rising,TRUE
consultations,2016-W52,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2017-W01,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,23403.5,169294.8,8192,275.85,5.7,100,rising,TRUE
consultations,2017-W01,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,4309.3,31043.8,1472,238.37,5.03,18.3,rising,TRUE
consultations,2017-W01,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,3254.2,28789.7,1297,229.25,5.09,13.8,rising,TRUE
consultations,2017-W01,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,4272.9,27981,1379,300.2,6.09,18.1,rising,TRUE
consultations,2017-W01,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1451.7,26095.9,1226,180.1,3.83,6.2,rising,TRUE
consultations,2017-W01,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,7283.6,42149.5,2038,294.19,6.08,30.9,rising,TRUE
consultations,2017-W01,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,3000.7,13235,780,544.01,9.23,12.7,stagnant,TRUE
consultations,2017-W01,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2017-W02,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,29677.5,174384,13682,349.8,4.46,100,rising,TRUE
consultations,2017-W02,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,5738.9,34021.6,2609,317.45,4.14,19.4,rising,TRUE
consultations,2017-W02,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,5325.6,30918.6,2264,375.18,5.12,18,rising,TRUE
consultations,2017-W02,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,5957.6,26041.9,2073,418.56,5.26,20.1,rising,TRUE
consultations,2017-W02,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1072.9,21036.5,1596,133.1,1.75,3.6,stagnant,TRUE
consultations,2017-W02,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,8218.2,46092.5,3595,331.94,4.26,27.8,rising,TRUE
consultations,2017-W02,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,3254.1,16272.9,1545,589.94,6.21,11,stagnant,TRUE
consultations,2017-W02,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2017-W03,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,25673.8,163248.9,13074,302.61,3.78,100,stagnant,TRUE
consultations,2017-W03,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,6156.5,29070.5,2278,340.55,4.35,24,stagnant,TRUE
consultations,2017-W03,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,3518.8,28642.1,2160,247.89,3.29,13.7,stagnant,TRUE
consultations,2017-W03,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,5335.7,26142.3,2123,374.87,4.62,20.8,stagnant,TRUE
consultations,2017-W03,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1603.2,20614.3,1594,198.89,2.57,6.3,rising,TRUE
consultations,2017-W03,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,6295,44049.9,3493,254.26,3.21,24.5,falling,TRUE
consultations,2017-W03,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,2733.7,14729.9,1426,495.59,5.12,10.7,stagnant,TRUE
consultations,2017-W03,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2017-W04,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,22991.1,161263.3,12706,270.99,3.44,100,falling,TRUE
consultations,2017-W04,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,4158,29564.7,2286,230,2.97,18.3,falling,TRUE
consultations,2017-W04,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,3741.8,28073.1,2088,263.6,3.54,16.5,stagnant,TRUE
consultations,2017-W04,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,3947.2,25963.2,2074,277.32,3.47,17.4,falling,TRUE
